STONNINGTON,84
BANYULE,67
BOROONDARA,57
GREATER GEELONG,56
MORNINGTON PENINSULA,53
MELBOURNE,49
MORELAND,46
GLEN EIRA,45
MONASH,38
CASEY,37
PORT PHILLIP,37
FRANKSTON,34
HUME,31
MOONEE VALLEY,31
BRIMBANK,27
DAREBIN,27
WYNDHAM,27
BAYSIDE,26
MANNINGHAM,22
NILLUMBIK,21
YARRA,21
WHITEHORSE,20
YARRA RANGES,19
MELTON,18
KINGSTON,17
WHITTLESEA,16
HOBSONS BAY,13
KNOX,12
GREATER DANDENONG,11
BALLARAT,10
MARIBYRNONG,10
MOIRA,10
CARDINIA,9
GREATER BENDIGO,9
MAROONDAH,9
MITCHELL,9
SURF COAST,9
GREATER SHEPPARTON,8
MOUNT ALEXANDER,6
WELLINGTON,6
BAW BAW,5
LATROBE,5
MACEDON RANGES,5
WARRNAMBOOL,5
BENALLA,3
LODDON,3
MILDURA,3
NORTHERN GRAMPIANS,3
SOUTH GIPPSLAND,3
SOUTHERN GRAMPIANS,3
BASS COAST,2
CAMPASPE,2
HEPBURN,2
HORSHAM,2
MANSFIELD,2
STRATHBOGIE,2
SWAN HILL,2
ARARAT,1
CENTRAL GOLDFIELDS,1
CORANGAMITE,1
EAST GIPPSLAND,1
GANNAWARRA,1
GLENELG,1
GOLDEN PLAINS,1
MOORABOOL,1
MOYNE,1
MURRINDINDI,1
WANGARATTA,1
WEST WIMMERA,1
WODONGA,1
YARRIAMBIACK,1
