STONNINGTON,87
BANYULE,72
BOROONDARA,58
GREATER GEELONG,56
MORNINGTON PENINSULA,54
MELBOURNE,53
MORELAND,46
CASEY,45
GLEN EIRA,45
PORT PHILLIP,42
MONASH,40
MOONEE VALLEY,36
FRANKSTON,35
HUME,32
DAREBIN,29
BRIMBANK,28
BAYSIDE,27
WYNDHAM,27
MANNINGHAM,24
YARRA,23
NILLUMBIK,21
WHITEHORSE,21
YARRA RANGES,20
WHITTLESEA,19
KINGSTON,18
MELTON,18
GREATER DANDENONG,14
HOBSONS BAY,13
KNOX,12
CARDINIA,11
BALLARAT,10
MARIBYRNONG,10
MOIRA,10
GREATER BENDIGO,9
GREATER SHEPPARTON,9
MAROONDAH,9
MITCHELL,9
SURF COAST,9
WELLINGTON,8
LATROBE,6
MOUNT ALEXANDER,6
BAW BAW,5
MACEDON RANGES,5
WARRNAMBOOL,5
SOUTH GIPPSLAND,4
BENALLA,3
LODDON,3
MANSFIELD,3
MILDURA,3
NORTHERN GRAMPIANS,3
SWAN HILL,3
BASS COAST,2
CAMPASPE,2
HEPBURN,2
HORSHAM,2
SOUTHERN GRAMPIANS,2
STRATHBOGIE,2
ARARAT,1
CENTRAL GOLDFIELDS,1
CORANGAMITE,1
EAST GIPPSLAND,1
GANNAWARRA,1
GOLDEN PLAINS,1
MOORABOOL,1
MOYNE,1
MURRINDINDI,1
WANGARATTA,1
WEST WIMMERA,1
WODONGA,1
YARRIAMBIACK,1
